 Morbidade Hospitalar do SUS - por local de internação - Goiás
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2008-Jun/2018
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"522160 Uruaçu";24401;24401;9410195,60;7279960,17;-;-;2130235,43;-;-;385,65;385,65;58707;2,4;634;2,60
"522170 Uruana";9602;9602;3221547,40;2786558,32;-;-;434989,08;-;-;335,51;335,51;34149;3,6;15;0,16
"522200 Vianópolis";11085;11085;3758099,50;3219124,86;-;-;538974,64;-;-;339,03;339,03;30531;2,8;58;0,52
"522205 Vicentinópolis";2156;2156;787552,80;644077,77;-;-;143475,03;-;-;365,28;365,28;5595;2,6;8;0,37
"522220 Vila Boa";1659;1659;498081,86;418746,35;-;-;79335,51;-;-;300,23;300,23;3623;2,2;5;0,30
"Total";3643916;3758343;3716490209,77;2958651377,16;28918997,74;14728946,34;694521413,70;14728946,34;5314824,85;988,86;1019,92;18390860;5,0;103672;2,85
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
